iter	Passed	Remaining
965	7499	263
966	7505	256
967	7511	248
968	7516	240
969	7521	232
970	7526	224
971	7533	217
972	7541	209
973	7546	201
974	7552	193
975	7556	185
976	7561	178
977	7566	170
978	7570	162
979	7575	154
980	7582	146
981	7588	139
982	7593	131
983	7599	123
984	7604	115
985	7610	108
986	7616	100
987	7621	92
988	7627	84
989	7633	77
990	7640	69
991	7645	61
992	7652	53
993	7658	46
994	7664	38
995	7669	30
996	7676	23
997	7682	15
998	7689	7
999	7695	0
7667	0
